arm,dt_s,accuracy,k_N_per_m,pen_m,static_m,ratio,finite,mujoco_tau_s
icf,0.01,,1000.0,0.000642063096165657,0.0006420629985774141,1.0000001519916941,True,
icf,0.01,,10000.0,6.420724093914032e-05,6.420629985774141e-05,1.000014657150482,True,
icf,0.01,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,True,
icf,0.01,,1000000.0,6.426125764846802e-07,6.420629985774141e-07,1.0008559563601762,True,
icf,0.01,,10000000.0,6.332993507385254e-08,6.420629985774141e-08,0.9863507975723473,True,
icf,0.01,,100000000.0,5.587935447692871e-09,6.420629985774141e-09,0.8703095272697183,True,
icf,0.001,,1000.0,0.000642063096165657,0.0006420629985774141,1.0000001519916941,True,
icf,0.001,,10000.0,6.420724093914032e-05,6.420629985774141e-05,1.000014657150482,True,
icf,0.001,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,True,
icf,0.001,,1000000.0,6.426125764846802e-07,6.420629985774141e-07,1.0008559563601762,True,
icf,0.001,,10000000.0,6.332993507385254e-08,6.420629985774141e-08,0.9863507975723473,True,
icf,0.001,,100000000.0,5.587935447692871e-09,6.420629985774141e-09,0.8703095272697183,True,
icf-adaptive,,0.001,1000.0,0.0006420537829399109,0.0006420629985774141,0.9999856468329064,True,
icf-adaptive,,0.001,10000.0,6.420910358428955e-05,6.420629985774141e-05,1.0000436674680577,True,
icf-adaptive,,0.001,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,True,
icf-adaptive,,0.001,1000000.0,6.426125764846802e-07,6.420629985774141e-07,1.0008559563601762,True,
icf-adaptive,,0.001,10000000.0,6.332993507385254e-08,6.420629985774141e-08,0.9863507975723473,True,
icf-adaptive,,0.001,100000000.0,5.587935447692871e-09,6.420629985774141e-09,0.8703095272697183,True,
mujoco,0.01,,1000.0,0.0004683658480644226,0.0006420629985774141,0.7294702375034173,True,0.023999999999999997
mujoco,0.01,,10000.0,0.00036718323826789856,6.420629985774141e-05,5.718803903689319,True,0.0075894663844041105
mujoco,0.01,,100000.0,0.00036718323826789856,6.420629985774141e-06,57.18803903689319,True,0.0024
mujoco,0.01,,1000000.0,0.00036718323826789856,6.420629985774141e-07,571.8803903689319,True,0.000758946638440411
mujoco,0.01,,10000000.0,0.00036718323826789856,6.420629985774141e-08,5718.803903689319,True,0.00023999999999999998
mujoco,0.01,,100000000.0,0.00036718323826789856,6.420629985774141e-09,57188.03903689319,True,7.589466384404109e-05
mujoco,0.001,,1000.0,0.0004683826118707657,0.0006420629985774141,0.7294963467892355,True,0.023999999999999997
mujoco,0.001,,10000.0,6.266497075557709e-05,6.420629985774141e-05,0.9759941141978379,True,0.0075894663844041105
mujoco,0.001,,100000.0,6.299465894699097e-06,6.420629985774141e-06,0.9811289404087291,True,0.0024
mujoco,0.001,,1000000.0,4.375353455543518e-06,6.420629985774141e-07,6.814523598521895,True,0.000758946638440411
mujoco,0.001,,10000000.0,4.375353455543518e-06,6.420629985774141e-08,68.14523598521895,True,0.00023999999999999998
mujoco,0.001,,100000000.0,4.375353455543518e-06,6.420629985774141e-09,681.4523598521895,True,7.589466384404109e-05
mujoco-adaptive,,0.001,1000.0,0.0004683658480644226,0.0006420629985774141,0.7294702375034173,True,0.023999999999999997
mujoco-adaptive,,0.001,10000.0,0.00010775774717330933,6.420629985774141e-05,1.6783048923869248,True,0.0075894663844041105
mujoco-adaptive,,0.001,100000.0,0.00010775215923786163,6.420629985774141e-06,16.782178614341976,True,0.0024
mujoco-adaptive,,0.001,1000000.0,0.00010775215923786163,6.420629985774141e-07,167.82178614341979,True,0.000758946638440411
mujoco-adaptive,,0.001,10000000.0,0.00010775215923786163,6.420629985774141e-08,1678.2178614341979,True,0.00023999999999999998
mujoco-adaptive,,0.001,100000000.0,0.00010775215923786163,6.420629985774141e-09,16782.178614341978,True,7.589466384404109e-05
